CONTRACT_ID,Breast.Cancer.Screening,Colorectal.Cancer.Screening,Cardiovascular.Care...Cholesterol.Screening,Diabetes.Care...Cholesterol.Screening,Glaucoma.Testing,Annual.Flu.Vaccine,Improving.or.Maintaining.Physical.Health,Improving.or.Maintaining.Mental.Health,Monitoring.Physical.Activity,Adult.BMI.Assessment,Care.for.Older.Adults...Medication.Review,Care.for.Older.Adults...Functional.Status.Assessment,Care.for.Older.Adults...Pain.Screening,Osteoporosis.Management.in.Women.who.had.a.Fracture,Diabetes.Care...Eye.Exam,Diabetes.Care...Kidney.Disease.Monitoring,Diabetes.Care...Blood.Sugar.Controlled,Diabetes.Care...Cholesterol.Controlled,Controlling.Blood.Pressure,Rheumatoid.Arthritis.Management,Improving.Bladder.Control,Reducing.the.Risk.of.Falling,Plan.All.Cause.Readmissions,Getting.Needed.Care,Getting.Appointments.and.Care.Quickly,Customer.Service,Overall.Rating.of.Health.Care.Quality,Overall.Rating.of.Plan,Care.Coordination,Complaints.about.the.Health.Plan,Beneficiary.Access.and.Performance.Problems,Members.Choosing.to.Leave.the.Plan,Improvement,Plan.Makes.Timely.Decisions.about.Appeals,Reviewing.Appeals.Decisions,Call.Center...Foreign.Language.Interpreter.and.TTY.TDD.Availability,Enrollment.Timeliness,Call.Center...Pharmacy.Hold.Time,Call.Center...Foreign.Language.Interpreter.and.TTY.TDD.Availability,Appeals.Auto.Forward,Appeals.Upheld,Enrollment.Timeliness,Complaints.about.the.Drug.Plan,Beneficiary.Access.and.Performance.Problems,Members.Choosing.to.Leave.the.Plan,Drug.Plan.Quality.Improvement,Getting.Information.From.Drug.Plan,Rating.of.Drug.Plan,Getting.Needed.Prescription.Drugs,MPF.Price.Accuracy,High.Risk.Medication,Diabetes.Treatment,Part.D.Medication.Adherence.for.Oral.Diabetes.Medications,Part.D.Medication.Adherence.for.Hypertension..RAS.antagonists.,Part.D.Medication.Adherence.for.Cholesterol..Statins., Special Needs Plan (SNP) Care Management,Contract_Type,Year
S2874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,2,0,4,0,0,0,0,0,3,4,5,1,1,1,0,PART D ,2013
S2893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,2,5,2,4,5,5,2,4,4,3,5,2,5,5,5,0,PART D ,2013
S3389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,5,0,5,4,3,4,2,3,4,5,0,PART D ,2013
S3440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,0,0,3,5,2,4,4,1,4,5,1,1,3,3,3,0,PART D ,2013
S3521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,5,2,5,5,3,4,5,5,3,4,3,5,5,5,0,PART D ,2013
S3994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,0,2,4,5,5,0,5,5,5,5,5,0,PART D ,2013
S4219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,0,5,1,5,1,0,4,4,2,5,1,2,4,3,3,0,PART D ,2013
S4802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,1,5,4,3,4,2,4,1,4,3,4,2,4,3,3,0,PART D ,2013
S5540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,2,5,4,5,5,4,5,5,5,5,1,3,5,4,3,0,PART D ,2013
S5552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,2,4,4,5,3,2,2,3,5,3,3,3,3,0,PART D ,2013
S5569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,0,5,2,2,2,4,4,4,4,5,5,2,3,2,2,0,PART D ,2013
S5580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,5,5,2,3,4,3,4,4,4,5,5,3,2,3,2,0,PART D ,2013
S5584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,5,5,5,5,5,4,4,5,5,5,1,4,5,5,0,PART D ,2013
S5593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,5,5,4,5,5,3,4,1,4,5,4,1,5,4,4,0,PART D ,2013
S5596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,4,3,4,3,3,4,3,2,2,3,2,3,3,3,3,0,PART D ,2013
S5601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,2,4,5,3,5,5,3,4,2,3,2,3,3,2,3,0,PART D ,2013
S5609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,0,4,5,5,4,3,4,2,4,5,2,3,3,3,5,0,PART D ,2013
S5617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,5,5,5,3,4,5,3,4,4,3,1,3,2,2,2,0,PART D ,2013
S5660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,5,5,5,5,5,5,5,4,4,5,3,3,4,3,4,0,PART D ,2013
S5670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,0,5,3,2,3,4,3,5,5,5,1,1,5,3,4,0,PART D ,2013
S5674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,5,3,2,3,4,4,5,4,5,1,1,5,4,5,0,PART D ,2013
S5715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,5,5,4,5,5,3,4,4,5,4,2,4,4,3,0,PART D ,2013
S5726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0,3,4,5,3,5,0,4,4,3,2,3,5,4,4,0,PART D ,2013
S5743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,3,5,5,4,5,5,4,4,5,5,5,3,5,5,5,0,PART D ,2013
S5753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,5,5,5,4,3,4,3,4,4,5,5,2,5,5,5,0,PART D ,2013
S5755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,4,5,4,3,5,5,4,4,4,5,3,2,2,2,2,0,PART D ,2013
S5766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,0,5,4,5,5,5,3,4,4,5,4,2,5,5,4,0,PART D ,2013
S5768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,5,5,4,2,3,4,2,2,4,5,3,3,2,2,2,0,PART D ,2013
S5775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,4,1,3,5,4,4,4,3,3,5,1,1,1,0,PART D ,2013
S5795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,3,5,5,4,1,4,4,4,4,3,1,2,2,2,2,0,PART D ,2013
S5805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,5,5,4,1,5,5,4,4,4,5,5,2,4,4,3,0,PART D ,2013
S5810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,5,5,3,1,4,5,4,4,5,3,5,3,2,2,2,0,PART D ,2013
S5820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,5,5,4,1,2,5,4,4,4,5,3,2,3,2,3,0,PART D ,2013
S5840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,3,0,0,4,4,5,3,5,1,1,1,0,PART D ,2013
S5857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,4,3,4,2,1,3,2,2,5,2,1,2,4,4,0,PART D ,2013
S5877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,0,0,5,4,5,4,5,5,5,5,2,5,4,2,3,0,PART D ,2013
S5884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,5,4,4,4,4,5,2,4,2,3,3,3,3,3,3,0,PART D ,2013
S5904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,5,2,3,3,5,5,3,4,4,5,3,3,4,3,3,0,PART D ,2013
S5907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,0,0,4,4,5,5,1,1,1,3,4,5,1,1,1,0,PART D ,2013
S5916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,0,5,5,5,5,3,4,4,5,5,1,4,2,3,4,0,PART D ,2013
S5921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,5,3,2,1,4,3,4,4,4,5,1,2,4,3,4,0,PART D ,2013
S5932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,2,2,5,4,2,5,5,4,4,5,1,3,2,1,1,0,PART D ,2013
S5937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,4,5,3,3,4,2,4,1,1,3,1,1,3,3,2,0,PART D ,2013
S5953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,4,2,4,2,4,5,2,2,2,3,1,3,2,2,1,0,PART D ,2013
S5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,3,5,2,3,1,5,0,4,2,3,1,3,2,1,1,0,PART D ,2013
S5966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,5,4,5,4,5,3,4,4,5,5,4,4,4,3,0,PART D ,2013
S5967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,5,4,4,2,3,2,4,4,5,2,4,2,2,2,0,PART D ,2013
S5975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,4,0,4,5,5,5,0,2,5,5,5,5,0,PART D ,2013
S5983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,3,5,5,4,5,5,3,4,4,5,4,3,3,2,2,0,PART D ,2013
S5993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,1,5,4,5,5,5,1,1,4,3,5,3,4,4,3,0,PART D ,2013
S6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,5,0,5,1,4,4,0,4,1,5,5,4,0,PART D ,2013
S7694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,1,5,5,5,3,5,2,1,2,5,3,3,2,1,1,0,PART D ,2013
S7950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,4,0,1,4,5,4,0,5,4,5,5,5,0,PART D ,2013
S8067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,1,5,3,5,5,3,3,4,4,3,4,1,5,5,4,0,PART D ,2013
S8841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,5,0,0,4,5,5,0,5,5,5,5,5,0,PART D ,2013
H0084,2,2,4,4,2,2,0,0,2,4,4,4,1,0,2,5,2,3,1,2,2,4,2,4,1,4,2,2,2,1,4,1,4,0,0,4,0,3,0,5,0,0,1,4,1,4,0,4,4,4,3,3,2,2,2,0,MA PD,2014
H0104,3,4,5,4,2,3,4,2,2,3,0,0,0,2,3,4,3,3,3,5,3,2,3,4,1,4,4,4,4,5,4,5,4,1,1,4,0,1,0,2,2,0,5,4,5,5,0,4,5,4,2,2,4,4,3,0,MA PD,2014
H0108,3,3,5,4,2,3,0,0,3,4,0,0,0,2,3,5,3,4,4,3,2,3,4,1,2,3,1,2,2,1,5,2,4,5,0,5,0,5,0,3,0,0,1,5,2,3,0,3,2,4,5,5,3,3,3,0,MA PD,2014
H0117,3,4,4,4,3,2,4,2,2,3,3,2,2,0,3,5,3,3,3,3,3,4,3,2,4,1,2,1,3,2,4,1,4,5,5,4,0,5,0,1,0,0,2,4,1,3,0,2,3,4,4,4,2,2,2,0,MA PD,2014
H0141,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,2,0,0,0,0,0,5,0,0,0,0,0,4,3,3,4,3,2,0,PART D,2014
H0150,4,5,5,5,5,2,4,1,2,5,4,5,4,3,5,5,4,4,4,4,2,4,3,4,3,5,4,5,4,4,4,5,5,5,5,5,0,1,0,4,0,0,4,4,5,4,0,5,5,4,2,5,2,2,2,0,MA PD,2014
H0151,2,4,4,3,2,2,5,2,1,3,3,1,2,1,2,4,3,3,3,3,3,3,4,4,2,3,4,4,4,3,1,5,5,4,4,5,0,3,0,4,5,0,3,1,5,5,0,4,4,4,1,2,2,2,2,0,MA PD,2014
H0154,3,5,5,4,3,2,5,2,2,4,5,5,4,2,3,5,3,4,4,4,2,4,3,4,2,5,4,5,3,5,4,5,4,2,3,5,0,2,0,1,2,0,5,4,5,4,0,4,4,4,2,2,2,2,2,0,MA PD,2014
H0248,3,4,4,4,4,4,5,1,3,4,0,0,0,2,4,5,3,3,3,2,2,3,3,4,4,2,4,1,4,1,5,1,4,5,0,5,0,5,0,5,0,0,1,5,1,4,0,3,2,4,5,5,4,4,3,0,MA PD,2014
H0251,2,2,2,4,2,1,5,2,1,3,4,1,2,2,2,4,3,2,3,2,1,4,3,4,3,4,4,4,4,3,1,4,5,2,1,5,0,5,0,2,4,0,3,1,4,3,0,5,5,4,1,2,1,1,2,0,MA PD,2014
H0294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,4,0,3,0,0,0,0,1,4,0,0,0,0,0,4,3,3,5,2,3,0,PART D,2014
H0302,4,5,5,5,3,4,5,2,2,5,0,0,0,2,3,5,5,5,4,3,2,3,4,4,4,3,2,4,3,5,4,5,2,5,4,5,0,4,0,4,0,0,5,4,5,3,0,4,4,3,4,3,5,5,5,0,MA PD,2014
H0303,3,5,4,4,2,2,4,3,2,4,0,0,0,2,3,5,3,5,4,3,2,3,3,2,2,4,2,2,2,3,1,5,4,3,4,5,0,2,0,4,4,0,3,1,5,5,0,4,4,4,3,3,4,4,4,0,MA PD,2014
H0316,3,3,4,3,2,3,5,2,2,3,0,0,0,2,3,4,3,3,4,4,2,3,4,4,4,3,2,2,3,3,1,3,3,4,5,5,0,3,0,4,4,0,3,1,3,4,0,2,4,4,3,4,4,4,4,0,MA PD,2014
H0317,3,3,4,4,3,3,4,2,2,4,0,0,0,2,3,4,3,4,3,4,2,1,3,4,4,3,2,2,2,2,5,2,3,5,2,5,0,5,0,4,0,0,2,5,2,5,0,4,2,4,5,4,5,5,5,0,MA PD,2014
H0318,3,4,5,4,3,3,4,3,3,3,0,0,0,0,3,5,4,4,4,0,3,1,2,4,4,4,4,2,3,1,1,3,2,0,0,5,0,5,0,5,0,0,1,1,3,2,0,2,4,4,4,5,4,4,3,0,MA PD,2014
H0319,1,1,0,4,5,0,0,0,1,5,5,5,5,0,5,5,5,5,0,0,0,0,5,0,0,0,0,0,0,3,1,5,5,5,0,4,0,2,0,5,0,0,3,1,5,3,0,0,0,4,1,1,5,5,5,0,MA PD,2014
H0320,3,2,3,4,2,1,4,2,1,3,0,0,0,1,2,4,3,2,3,2,3,1,3,1,1,1,1,1,1,1,4,2,2,5,2,4,0,5,0,1,0,0,1,4,2,3,0,1,2,4,5,1,4,2,3,0,MA PD,2014
H0321,2,3,4,4,2,2,5,2,2,4,2,1,3,2,4,4,3,3,3,3,2,4,3,4,2,3,4,5,3,3,1,5,4,5,1,5,0,5,0,2,2,0,3,1,5,4,0,4,4,4,2,4,2,2,2,0,MA PD,2014
H0332,5,5,5,5,5,5,5,1,5,5,0,0,0,3,5,5,5,5,4,4,3,4,4,5,5,5,5,5,5,5,4,4,4,5,4,5,0,4,0,4,3,0,5,4,4,4,0,4,4,4,5,5,4,4,4,0,MA PD,2014
H0351,3,4,4,4,2,4,4,2,2,4,5,4,4,2,4,5,4,5,4,3,3,4,3,4,4,3,4,2,3,3,4,3,2,4,2,4,0,1,0,4,4,0,3,4,3,3,0,4,4,4,2,4,3,4,4,0,MA PD,2014
H0354,5,5,5,5,4,4,5,1,2,5,5,4,5,3,5,5,5,5,5,4,3,3,3,4,4,4,4,5,4,3,4,5,5,5,5,4,0,2,0,2,0,0,3,4,5,5,0,5,4,4,3,2,5,5,5,0,MA PD,2014
H0423,5,5,5,4,4,3,5,2,3,4,3,3,3,0,5,5,3,3,4,3,3,4,2,2,1,1,2,2,2,3,1,2,5,5,5,4,0,3,0,1,0,0,3,1,2,4,0,2,2,4,4,5,3,2,2,0,MA PD,2014
H0490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,1,0,0,0,0,0,5,0,0,0,0,0,4,5,2,5,1,2,0,PART D,2014
H0504,4,5,5,4,2,4,4,1,2,4,0,0,0,2,5,5,5,5,4,3,1,3,4,3,2,3,4,4,3,3,4,5,4,5,4,4,0,3,0,2,0,0,3,4,5,3,0,5,4,4,3,5,4,4,4,0,MA PD,2014
H0523,4,5,5,4,2,4,4,2,3,3,0,0,0,2,4,5,3,3,3,3,3,4,5,2,2,4,4,4,2,3,1,4,2,4,4,5,0,5,0,4,5,0,3,1,4,4,0,4,4,4,4,3,3,4,4,0,MA PD,2014
H0524,5,5,5,5,5,5,5,1,4,5,5,5,4,5,5,5,5,5,5,5,3,5,3,4,5,4,5,5,4,5,4,5,4,5,3,5,0,4,0,4,5,0,5,4,5,3,0,5,5,5,5,5,5,5,5,0,MA PD,2014
H0543,4,5,5,5,3,4,4,2,2,3,0,0,0,2,4,5,4,5,3,3,2,3,4,4,4,3,2,4,3,3,1,5,4,4,4,5,0,2,0,5,4,0,3,1,5,5,0,4,4,4,3,4,4,4,4,0,MA PD,2014
H0544,4,5,5,4,5,4,4,2,3,5,4,4,4,3,4,5,5,4,5,2,2,4,5,2,2,4,2,4,1,3,2,5,4,5,4,5,0,4,0,4,2,0,3,2,5,4,0,5,4,4,4,5,4,4,3,0,MA PD,2014
H0545,4,5,4,4,5,4,4,1,2,5,0,0,0,2,4,5,3,4,4,3,1,3,4,2,2,5,4,5,2,5,4,5,2,5,4,5,0,5,0,5,0,0,5,4,5,5,0,5,4,4,3,3,4,4,4,0,MA PD,2014
H0562,4,5,5,4,3,4,4,2,3,4,5,4,4,2,5,5,4,5,4,3,2,4,4,2,4,3,4,4,3,3,4,5,4,4,4,3,0,1,0,2,4,0,3,4,5,5,0,4,4,4,3,5,4,4,4,0,MA PD,2014
H0564,4,5,5,4,2,4,4,2,1,4,0,0,0,2,3,5,4,5,4,3,1,3,5,1,3,3,4,1,3,1,3,3,3,1,0,5,0,4,0,5,0,0,1,3,3,2,0,2,3,3,3,5,3,3,3,0,MA PD,2014
H0571,4,5,4,4,4,5,5,2,3,5,5,4,4,2,5,5,4,5,5,1,1,4,4,4,1,4,1,4,1,5,3,5,4,0,0,3,0,1,0,5,0,0,5,3,5,4,0,2,1,3,5,5,5,5,5,0,MA PD,2014
H0602,3,5,4,4,4,5,4,1,2,4,0,0,0,2,5,3,5,5,5,3,3,3,0,4,4,5,4,4,4,5,5,5,3,4,3,0,0,0,0,5,0,0,5,5,5,4,0,2,4,3,3,3,5,5,5,0,MA PD,2014
H0609,3,4,5,4,3,5,4,2,2,3,0,0,0,2,4,5,5,4,3,4,3,3,4,4,4,2,4,4,4,3,1,5,4,3,3,5,0,3,0,4,5,0,3,1,5,5,0,2,4,4,3,5,4,4,4,0,MA PD,2014
H0620,1,1,0,1,3,0,4,1,2,5,5,5,5,1,5,4,3,3,0,0,3,5,5,0,0,0,0,0,0,5,1,5,4,4,0,4,0,2,0,1,0,0,5,1,5,3,0,0,0,4,3,1,5,5,3,0,MA PD,2014
H0621,2,3,3,1,4,4,5,2,2,4,4,3,4,1,4,4,2,2,3,3,2,4,3,3,4,3,2,4,1,5,4,5,4,5,0,5,0,3,0,1,0,0,5,4,5,5,0,2,1,4,5,5,3,3,4,0,MA PD,2014
H0624,2,3,1,1,2,3,4,2,2,3,3,2,1,1,3,3,3,3,3,3,3,5,3,2,4,1,2,4,2,4,1,4,2,4,0,4,0,2,0,1,0,0,4,1,4,3,0,4,3,4,1,3,2,4,4,0,MA PD,2014
H0630,5,5,5,5,5,5,4,3,3,5,4,4,3,3,5,5,5,5,5,5,3,3,4,5,5,5,4,5,4,4,5,5,4,5,4,5,0,4,0,5,0,0,4,5,5,5,0,5,5,5,5,5,5,5,5,0,MA PD,2014
H0710,3,3,5,2,5,0,4,2,2,3,5,5,5,1,5,5,3,3,3,0,0,5,4,0,0,0,0,0,0,3,1,5,5,5,5,4,0,2,0,5,0,0,3,1,5,4,0,0,0,4,3,2,4,4,4,0,MA PD,2014
H0712,4,5,2,3,3,3,5,2,3,4,3,2,2,0,4,4,3,3,3,4,1,4,2,2,4,1,1,1,3,2,4,3,3,5,5,4,0,5,0,1,0,0,2,4,3,4,0,1,2,4,5,5,2,3,2,0,MA PD,2014
H0755,3,4,5,4,4,4,5,2,2,3,0,0,0,1,4,5,3,4,4,3,3,4,3,4,4,4,4,4,4,3,1,4,4,4,4,5,0,3,0,3,4,0,3,1,4,5,0,1,4,4,4,2,5,5,4,0,MA PD,2014
H0838,2,1,0,4,2,2,0,0,0,5,2,5,1,0,3,3,2,2,3,0,0,0,4,0,2,2,2,2,2,3,4,3,2,0,0,3,0,1,0,5,0,0,3,4,3,3,0,4,3,4,1,5,2,3,4,0,MA PD,2014
H0901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,5,0,0,0,0,0,1,0,0,0,0,0,4,5,5,1,1,1,0,PART D,2014
H0908,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,4,3,0,2,0,2,2,2,0,0,0,5,0,4,0,5,0,0,2,2,2,0,0,2,0,4,1,5,1,1,1,0,PART D,2014
H0913,3,4,5,4,2,1,4,2,2,3,0,0,0,0,3,5,3,3,3,0,0,4,3,0,1,2,2,1,2,3,3,1,4,4,5,4,0,5,0,5,0,0,3,3,1,4,0,1,2,4,5,5,1,1,1,0,MA PD,2014
H0979,3,2,4,4,4,4,2,1,3,2,0,0,0,0,3,3,2,2,3,0,3,3,4,4,4,4,4,4,5,1,5,2,3,0,0,5,0,3,0,1,0,0,1,5,2,1,0,4,4,4,3,2,3,2,2,0,MA PD,2014
H1013,5,5,5,5,4,1,5,1,2,5,5,5,5,3,4,5,4,4,4,2,2,4,4,2,2,4,4,4,4,3,4,3,4,4,1,4,0,3,0,5,0,0,3,4,3,5,0,5,4,4,3,5,4,4,2,0,MA PD,2014
H1016,4,5,5,5,5,2,5,2,3,4,0,0,0,2,5,5,4,5,4,3,2,4,3,4,1,5,4,5,3,5,3,4,3,4,4,5,0,5,0,2,0,0,5,3,4,5,0,5,4,4,5,4,4,5,3,0,MA PD,2014
